"","data2.District.Name","data2.School.Name","data2.Population","data2.Disaggregated","data2.Assessment","data2.Achievement.Level"
"64892","Lewiston Public Schools","Farwell Elementary School","White","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"64893","Lewiston Public Schools","Farwell Elementary School","Homeless","Other","Science","Below or Well Below State Expectations"
"64894","Lewiston Public Schools","Farwell Elementary School","Hispanic or Latino","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"64895","Lewiston Public Schools","Farwell Elementary School","Two or More Races","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"64896","Lewiston Public Schools","Farwell Elementary School","Female","Sex","Science","Below or Well Below State Expectations"
"64897","Lewiston Public Schools","Farwell Elementary School","English Learners (Monitoring)","Other","Science","Below or Well Below State Expectations"
"64898","Lewiston Public Schools","Farwell Elementary School","Male","Sex","Science","Below or Well Below State Expectations"
"64899","Lewiston Public Schools","Farwell Elementary School","English Learners","Other","Science","Below or Well Below State Expectations"
"64900","Lewiston Public Schools","Farwell Elementary School","American Indian or Alaska Native","Racial/Ethnic Diversity","Science","Below or Well Below State Expectations"
"64901","Lewiston Public Schools","Farwell Elementary School","Students with Disabilities","Other","Science","Below or Well Below State Expectations"
"64902","Lewiston Public Schools","Martel School","Economically Disadvantaged","Other","Mathematics","Well Below State Expectations"
"64903","Lewiston Public Schools","Martel School","Black or African American","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"65043","Lewiston Public Schools","Martel School","All Students","All Students","Mathematics","Well Below State Expectations"
"65044","Lewiston Public Schools","Martel School","Asian","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"65045","Lewiston Public Schools","Martel School","Students in Foster Care","Other","Mathematics","Well Below State Expectations"
"65046","Lewiston Public Schools","Martel School","White","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"65047","Lewiston Public Schools","Martel School","Homeless","Other","Mathematics","Well Below State Expectations"
"65048","Lewiston Public Schools","Martel School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"65049","Lewiston Public Schools","Martel School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Well Below State Expectations"
"65050","Lewiston Public Schools","Martel School","Female","Sex","Mathematics","Well Below State Expectations"
"65051","Lewiston Public Schools","Martel School","English Learners (Monitoring)","Other","Mathematics","Well Below State Expectations"
"65052","Lewiston Public Schools","Martel School","Male","Sex","Mathematics","Well Below State Expectations"
"65053","Lewiston Public Schools","Martel School","English Learners","Other","Mathematics","Well Below State Expectations"
"65054","Lewiston Public Schools","Martel School","Students with Disabilities","Other","Mathematics","Well Below State Expectations"
"65055","Lewiston Public Schools","Martel School","Economically Disadvantaged","Other","Mathematics","Below State Expectations"
"65056","Lewiston Public Schools","Martel School","Black or African American","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"65057","Lewiston Public Schools","Martel School","All Students","All Students","Mathematics","Below State Expectations"
"65058","Lewiston Public Schools","Martel School","Asian","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"65059","Lewiston Public Schools","Martel School","Students in Foster Care","Other","Mathematics","Below State Expectations"
"65060","Lewiston Public Schools","Martel School","White","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"65061","Lewiston Public Schools","Martel School","Homeless","Other","Mathematics","Below State Expectations"
"65062","Lewiston Public Schools","Martel School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"65063","Lewiston Public Schools","Martel School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Below State Expectations"
"65064","Lewiston Public Schools","Martel School","Female","Sex","Mathematics","Below State Expectations"
"65065","Lewiston Public Schools","Martel School","English Learners (Monitoring)","Other","Mathematics","Below State Expectations"
"65066","Lewiston Public Schools","Martel School","Male","Sex","Mathematics","Below State Expectations"
"65067","Lewiston Public Schools","Martel School","English Learners","Other","Mathematics","Below State Expectations"
"65068","Lewiston Public Schools","Martel School","Students with Disabilities","Other","Mathematics","Below State Expectations"
"65069","Lewiston Public Schools","Martel School","Economically Disadvantaged","Other","Mathematics","At State Expectations"
"65070","Lewiston Public Schools","Martel School","Black or African American","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"65071","Lewiston Public Schools","Martel School","All Students","All Students","Mathematics","At State Expectations"
"65223","Lewiston Public Schools","Martel School","Asian","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"65224","Lewiston Public Schools","Martel School","Students in Foster Care","Other","Mathematics","At State Expectations"
"65225","Lewiston Public Schools","Martel School","White","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"65226","Lewiston Public Schools","Martel School","Homeless","Other","Mathematics","At State Expectations"
"65227","Lewiston Public Schools","Martel School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"65228","Lewiston Public Schools","Martel School","Two or More Races","Racial/Ethnic Diversity","Mathematics","At State Expectations"
"65229","Lewiston Public Schools","Martel School","Female","Sex","Mathematics","At State Expectations"
"65230","Lewiston Public Schools","Martel School","English Learners (Monitoring)","Other","Mathematics","At State Expectations"
"65231","Lewiston Public Schools","Martel School","Male","Sex","Mathematics","At State Expectations"
"65232","Lewiston Public Schools","Martel School","English Learners","Other","Mathematics","At State Expectations"
"65233","Lewiston Public Schools","Martel School","Students with Disabilities","Other","Mathematics","At State Expectations"
"65234","Lewiston Public Schools","Martel School","Economically Disadvantaged","Other","Mathematics","Above State Expectations"
"65235","Lewiston Public Schools","Martel School","Black or African American","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"65236","Lewiston Public Schools","Martel School","All Students","All Students","Mathematics","Above State Expectations"
"65237","Lewiston Public Schools","Martel School","Asian","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"65238","Lewiston Public Schools","Martel School","Students in Foster Care","Other","Mathematics","Above State Expectations"
"65239","Lewiston Public Schools","Martel School","White","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"65240","Lewiston Public Schools","Martel School","Homeless","Other","Mathematics","Above State Expectations"
"65241","Lewiston Public Schools","Martel School","Hispanic or Latino","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"65242","Lewiston Public Schools","Martel School","Two or More Races","Racial/Ethnic Diversity","Mathematics","Above State Expectations"
"65243","Lewiston Public Schools","Martel School","Female","Sex","Mathematics","Above State Expectations"
"65244","Lewiston Public Schools","Martel School","English Learners (Monitoring)","Other","Mathematics","Above State Expectations"
"65245","Lewiston Public Schools","Martel School","Male","Sex","Mathematics","Above State Expectations"
"65246","Lewiston Public Schools","Martel School","English Learners","Other","Mathematics","Above State Expectations"
"65247","Lewiston Public Schools","Martel School","Students with Disabilities","Other","Mathematics","Above State Expectations"
"65248","Lewiston Public Schools","Martel School","Economically Disadvantaged","Other","Mathematics","At or Above State Expectations"
"65249","Lewiston Public Schools","Martel School","Black or African American","Racial/Ethnic Diversity","Mathematics","At or Above State Expectations"
